0: other-sign
1: complementary--chevron-left--g5
2: information--motorway--g1
3: regulatory--no-stopping--g15
4: information--pedestrians-crossing--g1
5: warning--railroad-crossing-without-barriers--g3
6: regulatory--go-straight-or-turn-right--g1
7: regulatory--one-way-straight--g1
8: complementary--go-right--g1
9: complementary--one-direction-left--g1
10: regulatory--one-way-right--g3
11: regulatory--stop--g1
12: regulatory--turn-left--g1
13: warning--junction-with-a-side-road-perpendicular-right--g3
14: regulatory--maximum-speed-limit-60--g1
15: regulatory--maximum-speed-limit-100--g1
16: warning--double-curve-first-right--g1
17: warning--trail-crossing--g2
18: complementary--keep-left--g1
19: regulatory--maximum-speed-limit-40--g3
20: regulatory--no-u-turn--g1
21: regulatory--priority-road--g4
22: regulatory--keep-right--g1
23: regulatory--maximum-speed-limit-30--g1
24: regulatory--no-stopping--g2
25: complementary--chevron-right--g1
26: warning--other-danger--g1
27: regulatory--no-parking--g1
28: warning--turn-right--g1
29: complementary--extent-of-prohibition-area-both-direction--g1
30: regulatory--radar-enforced--g1
31: regulatory--no-parking--g2
32: regulatory--lane-control--g1
33: warning--traffic-signals--g1
34: complementary--both-directions--g1
35: regulatory--no-pedestrians--g1
36: complementary--maximum-speed-limit-45--g1
37: warning--curve-right--g2
38: regulatory--maximum-speed-limit-80--g1
39: warning--winding-road-first-right--g1
40: warning--school-zone--g2
41: regulatory--reversible-lanes--g2
42: regulatory--no-parking-or-no-stopping--g1
43: regulatory--maximum-speed-limit-50--g1
44: regulatory--maximum-speed-limit-40--g1
45: complementary--maximum-speed-limit-20--g1
46: warning--double-turn-first-right--g1
47: warning--slippery-road-surface--g2
48: regulatory--go-straight-or-turn-left--g1
49: regulatory--no-turn-on-red--g1
50: regulatory--maximum-speed-limit-30--g3
51: warning--turn-right--g2
52: warning--pedestrians-crossing--g4
53: complementary--chevron-right--g3
54: warning--traffic-merges-right--g1
55: regulatory--maximum-speed-limit-40--g6
56: complementary--go-left--g1
57: regulatory--road-closed--g1
58: complementary--chevron-left--g1
59: warning--traffic-merges-right--g2
60: warning--road-bump--g2
61: regulatory--maximum-speed-limit-55--g2
62: information--interstate-route--g1
63: information--highway-exit--g1
64: warning--stop-ahead--g9
65: complementary--maximum-speed-limit-25--g1
66: warning--divided-highway-ends--g2
67: warning--junction-with-a-side-road-perpendicular-right--g1
68: regulatory--yield--g1
69: regulatory--no-u-turn--g3
70: warning--curve-left--g1
71: regulatory--weight-limit--g1
72: complementary--chevron-right-unsure--g6
73: complementary--chevron-right--g5
74: regulatory--no-entry--g1
75: regulatory--dual-path-bicycles-and-pedestrians--g1
76: complementary--priority-route-at-intersection--g1
77: warning--junction-with-a-side-road-perpendicular-left--g3
78: warning--junction-with-a-side-road-acute-left--g1
79: information--parking--g1
80: regulatory--keep-right--g6
81: warning--road-widens-right--g1
82: regulatory--turn-right-ahead--g2
83: regulatory--no-left-turn--g1
84: warning--railroad-crossing--g1
85: regulatory--pedestrians-only--g1
86: complementary--except-bicycles--g1
87: regulatory--shared-path-pedestrians-and-bicycles--g1
88: information--end-of-built-up-area--g1
89: warning--texts--g3
90: regulatory--turn-right-ahead--g1
91: warning--steep-ascent--g7
92: warning--uneven-road--g2
93: warning--children--g2
94: warning--winding-road-first-right--g3
95: regulatory--pedestrians-only--g2
96: warning--road-widens--g1
97: complementary--obstacle-delineator--g2
98: regulatory--no-overtaking--g2
99: regulatory--u-turn--g1
100: regulatory--maximum-speed-limit-35--g2
101: regulatory--turn-left--g2
102: regulatory--go-straight--g3
103: regulatory--keep-right--g4
104: regulatory--turn-right--g1
105: warning--double-curve-first-right--g2
106: regulatory--keep-left--g1
107: regulatory--go-straight-or-turn-right--g3
108: regulatory--no-straight-through--g2
109: regulatory--maximum-speed-limit-100--g3
110: regulatory--go-straight--g1
111: warning--texts--g2
112: warning--curve-right--g1
113: warning--railroad-crossing-with-barriers--g2
114: complementary--maximum-speed-limit-35--g1
115: regulatory--maximum-speed-limit-90--g1
116: warning--two-way-traffic--g2
117: warning--y-roads--g1
118: regulatory--no-parking--g5
119: regulatory--roundabout--g1
120: regulatory--width-limit--g1
121: information--parking--g2
122: information--parking--g5
123: regulatory--one-way-right--g1
124: regulatory--no-heavy-goods-vehicles--g1
125: regulatory--no-right-turn--g1
126: complementary--keep-right--g1
127: complementary--turn-right--g2
128: complementary--turn-left--g2
129: regulatory--maximum-speed-limit-50--g6
130: regulatory--one-way-right--g2
131: warning--narrow-bridge--g1
132: regulatory--priority-over-oncoming-vehicles--g1
133: warning--road-narrows--g1
134: warning--roundabout--g1
135: regulatory--maximum-speed-limit-70--g1
136: warning--roadworks--g1
137: information--disabled-persons--g1
138: warning--railroad-crossing-without-barriers--g1
139: warning--railroad-crossing--g4
140: warning--winding-road-first-left--g2
141: warning--road-bump--g1
142: regulatory--maximum-speed-limit-10--g1
143: regulatory--keep-left--g2
144: regulatory--no-heavy-goods-vehicles--g4
145: information--pedestrians-crossing--g2
146: warning--height-restriction--g2
147: warning--road-narrows-left--g2
148: regulatory--bicycles-only--g1
149: complementary--pass-right--g1
150: regulatory--buses-only--g1
151: regulatory--road-closed-to-vehicles--g3
152: complementary--distance--g2
153: regulatory--no-right-turn--g2
154: regulatory--height-limit--g1
155: regulatory--no-parking-or-no-stopping--g3
156: regulatory--road-closed--g2
157: warning--railroad-intersection--g3
158: regulatory--go-straight-or-turn-left--g3
159: information--parking--g6
160: warning--falling-rocks-or-debris-right--g2
161: regulatory--no-left-turn--g2
162: regulatory--no-motor-vehicle-trailers--g1
163: regulatory--no-motor-vehicles--g1
164: warning--winding-road-first-left--g1
165: complementary--tow-away-zone--g1
166: regulatory--turn-left-ahead--g1
167: information--airport--g2
168: warning--curve-left--g2
169: complementary--chevron-left--g2
170: warning--children--g1
171: warning--crossroads--g1
172: complementary--buses--g1
173: warning--roadworks--g3
174: warning--texts--g1
175: warning--traffic-signals--g3
176: regulatory--no-pedestrians--g2
177: regulatory--no-turn-on-red--g3
178: regulatory--maximum-speed-limit-25--g2
179: warning--falling-rocks-or-debris-right--g1
180: complementary--distance--g1
181: regulatory--no-overtaking--g1
182: warning--divided-highway-ends--g1
183: warning--roundabout--g25
184: regulatory--no-parking-or-no-stopping--g2
185: regulatory--no-turn-on-red--g2
186: regulatory--go-straight-or-turn-left--g2
187: regulatory--one-way-left--g1
188: information--hospital--g1
189: information--safety-area--g2
190: regulatory--no-motorcycles--g2
191: warning--flaggers-in-road--g1
192: regulatory--no-stopping--g4
193: warning--wild-animals--g4
194: complementary--chevron-left--g3
195: warning--pass-left-or-right--g2
196: complementary--maximum-speed-limit-30--g1
197: warning--bicycles-crossing--g2
198: regulatory--no-straight-through--g1
199: warning--uneven-road--g6
200: warning--double-curve-first-left--g1
201: warning--traffic-signals--g4
202: warning--trams-crossing--g1
203: warning--double-curve-first-left--g2
204: information--parking--g3
205: regulatory--end-of-prohibition--g1
206: regulatory--no-bicycles--g2
207: regulatory--one-way-left--g3
208: warning--junction-with-a-side-road-perpendicular-left--g1
209: regulatory--stop-here-on-red-or-flashing-light--g2
210: complementary--maximum-speed-limit-15--g1
211: warning--turn-left--g1
212: warning--crossroads--g3
213: complementary--one-direction-right--g1
214: regulatory--maximum-speed-limit-20--g1
215: warning--junction-with-a-side-road-perpendicular-left--g4
216: regulatory--no-stopping--g8
217: complementary--maximum-speed-limit-70--g1
218: warning--horizontal-alignment-left--g1
219: regulatory--no-overtaking--g5
220: complementary--accident-area--g3
221: information--gas-station--g3
222: warning--trucks-crossing--g1
223: regulatory--no-motorcycles--g1
224: regulatory--do-not-block-intersection--g1
225: regulatory--no-vehicles-carrying-dangerous-goods--g1
